Country Name,Country Code,Indicator Name,Indicator Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,22902861.45,27030374.03,30290219.76,27101076.28,31823518.62,38711810.21,37671774.69,37509075.11,37290607.54,35492074.22,36547799.58,40619251.99,42588164.97,47271463.33
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,,,,,47564520.39,66055407.67,96927201.48,98491843.64,104654365.2,86779266.16,100087349,109585941.6,124021393.7,118223430.1
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,110234939.8,132671743,141042610.3,132420059.3,156120895.2,181705002.6,190243321.6,185113921.6,179703443.3,171117872.4,178328873,187276210.9,196737896,194647201.9
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,192382400,198897700,198283900,187522800,185943000,196911100,212397800,221117200,241669800,280457700,295065400,286106800,280435700,268354919.4
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,142775597.3,149146423.1,188021190.6,187820464.6,196652166.3,231488665.2,250680453.1,300553785,346527949.8,316065369.9,345495358.4,375614556.4,412261829.6,418637389
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,292232126.6,298513956.2,344428609,312377379.3,366840012.4,414523388.5,470714083.4,450643615.2,439878828,437006227.2,420540178.6,460379145,489235527.4,512350059.4
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,390250148.1,421375851.9,458190185.2,489074333.3,493825925.9,501025925.9,485996296.3,498296296.3,520207407.4,540737037,576229629.6,519837037,551074074.1,582403703.7
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,610930037,684446259.3,695428851.9,674922481.5,681225925.9,676129629.6,692933333.3,721207407.4,727714814.8,755400000,774429629.6,792177777.8,811300000,824718518.5
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,505832439.8,570469196.7,619260721.6,584706020.2,663161517.9,737401692.2,760549587.1,770021664,756919917.3,788307330.6,799376439.5,832153612.6,821496064.5,852250191
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,439376794.1,526428309.9,607958616.1,610066628.7,700804286.2,792149700.7,781702874.1,801787555.9,814954307,759689950.9,804332795.6,880043553.7,914700508.2,934239973.8
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,644411111.1,689285185.2,751233333.3,747862963,760170370.4,817759259.3,800414814.8,839774074.1,916566666.7,923155555.6,971166666.7,996944444.4,1010822222,1053244444
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,698431827.7,795673128.5,915659192.8,905341090.6,907978723.5,1023086184,1015843369,1116224161,1149587652,966029542,1012835518,1077439663,1178530758,1165839927
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,721891500,773489700,862683600,703175800,686787800,728789600,727161000,754238000,841070000,942070000,1032452000,1022365000,1113178000,1197415000
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9,1061631222,1125685185,1168696296,1210603704
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,592365688.1,696910810.9,868154708.5,830126470,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629,1179004941,1350177128,1458868242,1339449165
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,538668769.3,620230005.2,699157191,735940409.7,846797693.6,1049952233,1190994127,1284698922,1335538893,1307061544,1378551118,1483758907,1593964162,1589913622
